"","TRINITY_ID","scaffold","t_start","t_end","strand"
"325","TRINITY_DN5036_c0_g1_i13","MA_1678","9576","10684","-"
"326","TRINITY_DN5064_c0_g1_i4","MA_16349|MA_82066","11958|28508","17240|30744","-|-"
"327","TRINITY_DN5064_c0_g1_i6","MA_16349|MA_82066","14794|28086","17240|30744","-|-"
"328","TRINITY_DN5064_c0_g1_i7","MA_16349|MA_82066","16114|29697","17308|32582","-|-"
"329","TRINITY_DN5064_c0_g1_i2","MA_16349|MA_82066","15556|29424","17240|30744","-|-"
"330","TRINITY_DN5128_c4_g1_i1","MA_52613","12950","13538","-"
"331","TRINITY_DN5175_c1_g4_i1","MA_38414","18073","18824","+"
"332","TRINITY_DN5147_c0_g1_i12","MA_188532|MA_188532","505|1339","1728|1619","+|+"
"333","TRINITY_DN5186_c0_g2_i1","MA_10427967","13836","14517","-"
"334","TRINITY_DN5176_c1_g1_i1","MA_10431840|MA_10432851","16149|3926","16426|16425","+|-"
"335","TRINITY_DN5159_c0_g1_i6","MA_10433266","40051","40454","-"
"336","TRINITY_DN5287_c0_g1_i10","MA_10434575|MA_35037","5425|15366","9026|15966","+|+"
"337","TRINITY_DN5219_c0_g2_i1","MA_174239","19132","20031","+"
"338","TRINITY_DN5219_c0_g2_i2","MA_174239","19357","20031","+"
"339","TRINITY_DN5249_c0_g1_i4","MA_11456","8708","10097","-"
"340","TRINITY_DN5249_c0_g1_i5","MA_11456","8708","10097","-"
"341","TRINITY_DN5249_c0_g1_i1","MA_11456","8708","10097","-"
"342","TRINITY_DN5243_c0_g1_i1","MA_177060|MA_94115","9610|13787","10110|14436","+|-"
"343","TRINITY_DN5211_c0_g2_i14","MA_9676","11216","14253","-"
"344","TRINITY_DN5211_c0_g2_i3","MA_9676|MA_9676","11962|12250","13975|12372","-|-"
"345","TRINITY_DN5211_c0_g2_i2","MA_9676","11501","13975","-"
"346","TRINITY_DN5211_c0_g2_i5","MA_9676","11216","14253","-"
"347","TRINITY_DN5209_c0_g1_i1","MA_10435210|MA_83050","30281|3137","30888|3931","-|+"
"348","TRINITY_DN5209_c0_g1_i2","MA_10435210|MA_83050","30281|3137","30886|3931","-|+"
"349","TRINITY_DN5369_c0_g1_i2","MA_4453","9616","10904","-"
"350","TRINITY_DN5339_c0_g2_i1","MA_10436279","16724","17149","+"
"351","TRINITY_DN5330_c0_g1_i1","MA_105066","5299","6407","+"
"352","TRINITY_DN5330_c0_g1_i2","MA_105066","5299","6407","+"
"353","TRINITY_DN5415_c0_g1_i1","MA_10432756","2819","4662","-"
"354","TRINITY_DN5407_c0_g1_i4","MA_10431726","17060","18459","+"
"355","TRINITY_DN5407_c0_g1_i1","MA_10431726","17060","18459","+"
"356","TRINITY_DN5473_c1_g1_i5","MA_10433266","34827","35053","-"
"357","TRINITY_DN5473_c1_g1_i1","MA_10433266","34827","35162","-"
"358","TRINITY_DN5473_c0_g1_i5","MA_10428073|MA_10428073","17089|17246","17691|17401","+|+"
"359","TRINITY_DN5473_c0_g1_i1","MA_10428073|MA_10428073","17089|17246","17185|17401","+|+"
"360","TRINITY_DN5438_c0_g2_i10","MA_170713|MA_170713","8157|8399","8522|9739","+|+"
"361","TRINITY_DN5438_c0_g2_i5","MA_170713","8396","9739","+"
"362","TRINITY_DN5528_c0_g4_i8","MA_37473","5504","6406","-"
"363","TRINITY_DN5528_c0_g1_i2","MA_37473","4867","5515","-"
"364","TRINITY_DN5517_c0_g1_i4","MA_173073","22519","28429","-"
"365","TRINITY_DN5517_c0_g1_i3","MA_173073","25865","28429","-"
"366","TRINITY_DN5557_c0_g1_i4","MA_10429789","46683","50147","-"
"367","TRINITY_DN5557_c0_g1_i5","MA_10429789","46070","50147","-"
"368","TRINITY_DN5557_c0_g1_i1","MA_10429789","47213","50147","-"
"369","TRINITY_DN5557_c0_g1_i2","MA_10429789|MA_10429789","47170|47184","50147|47508","-|-"
"370","TRINITY_DN5557_c0_g1_i3","MA_10429789","47213","50147","-"
"371","TRINITY_DN5557_c0_g1_i10","MA_10429789","47184","50147","-"
"372","TRINITY_DN5584_c0_g1_i4","MA_10379733","23074","23679","-"
"373","TRINITY_DN5584_c0_g1_i7","MA_10379733","23074","23679","-"
"374","TRINITY_DN5584_c0_g1_i2","MA_10379733","23074","23679","-"
"375","TRINITY_DN5584_c0_g1_i3","MA_10379733","23244","23679","-"
"376","TRINITY_DN5584_c0_g1_i8","MA_10379733","23074","23679","-"
"377","TRINITY_DN5504_c3_g2_i1","MA_706","6193","9476","+"
"378","TRINITY_DN5692_c1_g2_i2","MA_4871","16712","20387","-"
"379","TRINITY_DN5692_c1_g2_i3","MA_4871","16712","20387","-"
"380","TRINITY_DN5686_c0_g1_i8","MA_138036|MA_85286","3136|43802","3625|44348","+|+"
"381","TRINITY_DN5686_c0_g1_i10","MA_138036|MA_85286","3136|43802","3625|44348","+|+"
"382","TRINITY_DN5783_c0_g2_i4","MA_91981","19867","21880","+"
"383","TRINITY_DN5895_c0_g1_i4","MA_121360","6739","8735","+"
"384","TRINITY_DN5837_c0_g2_i2","MA_21822","12391","13175","-"
"385","TRINITY_DN5833_c0_g2_i1","MA_19813","17871","18699","+"
"386","TRINITY_DN5833_c0_g2_i2","MA_19813|MA_19813","17871|45785","18699|45884","+|+"
"387","TRINITY_DN5867_c0_g1_i1","MA_10433266|MA_10434813|MA_160270","38338|23589|9812","40156|25892|12115","-|+|-"
"388","TRINITY_DN5864_c0_g1_i4","MA_10283","20356","20801","+"
"389","TRINITY_DN5864_c0_g1_i2","MA_10283","20356","20801","+"
"390","TRINITY_DN5864_c0_g1_i3","MA_10283","20356","20679","+"
"391","TRINITY_DN5817_c0_g2_i4","MA_41104","14428","19307","-"
"392","TRINITY_DN5946_c0_g1_i4","MA_42302","36197","37871","+"
"393","TRINITY_DN5946_c0_g1_i7","MA_42302","36197","37871","+"
"394","TRINITY_DN5963_c0_g2_i1","MA_10428376","26714","27291","+"
"395","TRINITY_DN5959_c0_g1_i4","MA_16138","13765","21748","-"
"396","TRINITY_DN5940_c0_g1_i1","MA_27789","29733","30194","+"
"397","TRINITY_DN6048_c0_g1_i8","MA_10425757","27907","28315","+"
"398","TRINITY_DN6030_c0_g1_i5","MA_10433460|MA_81783","15365|1252","15926|1512","+|-"
"399","TRINITY_DN6030_c0_g1_i2","MA_10433460","15880","17114","+"
"400","TRINITY_DN6030_c0_g1_i11","MA_10433460","15880","17114","+"
"401","TRINITY_DN6030_c3_g1_i1","MA_10433460|MA_18100","16457|64110","16726|64371","+|+"
"402","TRINITY_DN6179_c0_g1_i9","MA_123249","6247","7170","+"
"403","TRINITY_DN6127_c0_g1_i2","MA_103587|MA_163492","5450|3008","6125|3378","+|+"
"404","TRINITY_DN6104_c0_g3_i2","MA_19256","57173","67773","-"
"405","TRINITY_DN6164_c0_g1_i9","MA_171883","11982","12355","-"
"406","TRINITY_DN6177_c0_g3_i1","MA_48416","7786","9445","+"
"407","TRINITY_DN6262_c0_g1_i2","MA_735","18907","20898","+"
"408","TRINITY_DN6261_c0_g1_i4","MA_10433266|MA_10434813|MA_160270","35874|27165|7922","36467|27782|8539","-|+|-"
"409","TRINITY_DN6261_c0_g1_i1","MA_10433266|MA_10434813|MA_160270","35874|27218|7922","36414|27782|8486","-|+|-"
"410","TRINITY_DN6261_c0_g1_i8","MA_10433266|MA_10434813|MA_160270","35874|27218|7922","36414|27782|8486","-|+|-"
"411","TRINITY_DN6336_c0_g1_i3","MA_10407","21857","24713","-"
"412","TRINITY_DN6336_c0_g1_i20","MA_10407|MA_10407","25342|25604","25730|26598","+|+"
"413","TRINITY_DN6336_c0_g1_i17","MA_10407","21857","26598","+"
"414","TRINITY_DN6342_c0_g1_i2","MA_10434901","2849","3755","+"
"415","TRINITY_DN6338_c0_g2_i1","MA_175457","21373","22260","+"
"416","TRINITY_DN6479_c0_g1_i5","MA_10434679","18330","19379","-"
"417","TRINITY_DN6505_c1_g1_i1","MA_10435344|MA_97310","1589|8774","1695|9061","-|-"
"418","TRINITY_DN6667_c0_g1_i4","MA_10437267","3725","8050","-"
"419","TRINITY_DN6667_c0_g1_i1","MA_10437267","3725","8050","-"
"420","TRINITY_DN6667_c0_g1_i3","MA_10437267","3725","8050","-"
"421","TRINITY_DN6644_c0_g1_i3","MA_160270","6612","6707","-"
"422","TRINITY_DN6721_c0_g2_i9","MA_1732","9326","11024","-"
"423","TRINITY_DN6721_c0_g2_i5","MA_14041|MA_1732|MA_1732","3198|10257|10862","3782|10814|11024","+|+|+"
"424","TRINITY_DN6721_c0_g2_i6","MA_1732","9326","11024","-"
"425","TRINITY_DN6736_c0_g1_i3","MA_47820","12763","13903","-"
"426","TRINITY_DN6788_c0_g1_i5","MA_27938","12398","13174","+"
"427","TRINITY_DN6758_c0_g1_i10","MA_160270","11867","12447","-"
"428","TRINITY_DN6728_c1_g1_i1","MA_14509|MA_9945","26868|28371","34568|29009","-|-"
"429","TRINITY_DN6780_c0_g1_i9","MA_10427666|MA_10429074","8190|2029","8409|11318","-|+"
"430","TRINITY_DN6780_c0_g1_i10","MA_10429074","11077","21833","+"
"431","TRINITY_DN6844_c2_g1_i1","MA_36407","27480","28075","-"
"432","TRINITY_DN6877_c0_g1_i3","MA_11587","55646","56720","+"
"433","TRINITY_DN6837_c0_g1_i8","MA_20072|MA_8513","23708|2694","24202|23317","+|+"
"434","TRINITY_DN6985_c1_g1_i1","MA_97482","16312","17381","-"
"435","TRINITY_DN6989_c0_g1_i10","MA_100058","13414","14364","+"
"436","TRINITY_DN6955_c0_g1_i4","MA_10435042","22725","24178","-"
"437","TRINITY_DN6955_c0_g1_i5","MA_10435042","22725","24178","-"
"438","TRINITY_DN6955_c0_g1_i2","MA_10435042","22725","24178","-"
"439","TRINITY_DN6931_c0_g1_i2","MA_19146","77092","77455","+"
"440","TRINITY_DN6931_c0_g1_i3","MA_19146","77092","77455","+"
"441","TRINITY_DN6961_c0_g1_i4","MA_10434813|MA_160270","26935|8471","27233|8769","+|-"
"442","TRINITY_DN6961_c0_g1_i1","MA_10434813|MA_160270","26935|8471","27233|8769","+|-"
"443","TRINITY_DN6961_c0_g1_i2","MA_10434813|MA_160270","26935|8471","27233|8769","+|-"
"444","TRINITY_DN7012_c1_g2_i1","MA_10429481|MA_10437163","1083|50089","1417|50434","+|-"
"445","TRINITY_DN7030_c0_g1_i3","MA_3230","52637","52744","+"
"446","TRINITY_DN7122_c0_g1_i2","MA_86694","12081","13092","+"
"447","TRINITY_DN7164_c0_g2_i1","MA_37742","24659","25789","+"
"448","TRINITY_DN7262_c1_g1_i1","MA_10433341","16696","17471","+"
"449","TRINITY_DN7207_c0_g1_i1","MA_10429163","1163","1603","-"
"450","TRINITY_DN7390_c0_g2_i1","MA_68278|MA_68278","9297|9937","10049|10169","-|-"
"451","TRINITY_DN7390_c0_g2_i2","MA_68278|MA_68278","9234|9937","10049|10169","-|-"
"452","TRINITY_DN7346_c1_g1_i2","MA_141075","9298","11438","+"
"453","TRINITY_DN7377_c0_g3_i1","MA_10436846","7553","8289","+"
"454","TRINITY_DN7456_c0_g1_i7","MA_10435786","7249","8794","-"
"455","TRINITY_DN7443_c0_g1_i8","MA_10391505|MA_174653","33391|6328","34166|7103","+|-"
"456","TRINITY_DN7436_c0_g2_i2","MA_12044","13735","14241","-"
"457","TRINITY_DN7472_c0_g1_i1","MA_10436731","18514","18784","+"
"458","TRINITY_DN7457_c0_g1_i1","MA_94911","5909","6309","-"
"459","TRINITY_DN7457_c0_g1_i2","MA_94911","5941","6309","-"
"460","TRINITY_DN7471_c0_g1_i4","MA_10431879","22073","22534","+"
"461","TRINITY_DN7504_c0_g1_i1","MA_50981","8090","8644","-"
"462","TRINITY_DN7525_c10_g1_i1","MA_13504","10876","12168","+"
"463","TRINITY_DN7501_c0_g2_i1","MA_10435793|MA_10435793|MA_131215","17537|18238|263","17682|18319|1022","-|-|+"
"464","TRINITY_DN7537_c0_g1_i2","MA_10436871","22914","23570","-"
"465","TRINITY_DN7665_c1_g1_i4","MA_127562","6735","7819","+"
"466","TRINITY_DN7646_c0_g1_i4","MA_94911","15661","16240","-"
"467","TRINITY_DN7646_c0_g1_i5","MA_94911","15661","16289","-"
"468","TRINITY_DN7646_c0_g1_i6","MA_94911","15661","16240","-"
"469","TRINITY_DN7646_c0_g1_i3","MA_94911","15661","16289","-"
"470","TRINITY_DN7646_c0_g1_i8","MA_94911","15661","16289","-"
"471","TRINITY_DN7789_c0_g1_i5","MA_17259","28709","29716","+"
"472","TRINITY_DN7700_c0_g1_i4","MA_16138","7441","8166","-"
"473","TRINITY_DN7700_c0_g1_i6","MA_16138","7441","8242","-"
"474","TRINITY_DN7700_c0_g1_i1","MA_16138","7441","17322","-"
"475","TRINITY_DN7731_c0_g1_i3","MA_11669|MA_11669","54889|54927","55122|55399","+|+"
"476","TRINITY_DN7850_c0_g1_i3","MA_10433460","15893","16549","+"
"477","TRINITY_DN7982_c0_g1_i15","MA_15013","6774","7905","+"
"478","TRINITY_DN7911_c0_g1_i7","MA_19910|MA_19910","52249|73858","52757|74027","+|+"
"479","TRINITY_DN7911_c0_g1_i2","MA_19910|MA_19910","52055|73858","53022|74027","+|+"
"480","TRINITY_DN7944_c0_g1_i1","MA_77139","18833","19489","-"
"481","TRINITY_DN7944_c0_g1_i2","MA_77139","19347","19863","+"
"482","TRINITY_DN7954_c0_g2_i1","MA_129382","10328","15613","+"
"483","TRINITY_DN7954_c0_g2_i5","MA_129382","10328","15613","+"
"484","TRINITY_DN8020_c0_g1_i6","MA_10428351","5644","8340","-"
"485","TRINITY_DN8049_c0_g1_i5","MA_10426012","5854","6213","-"
"486","TRINITY_DN8049_c0_g1_i2","MA_10426012|MA_10426012","5670|5966","6179|6230","-|-"
"487","TRINITY_DN8154_c0_g3_i1","MA_10435455|MA_5342","6773|4008","7157|4236","-|+"
"488","TRINITY_DN8133_c0_g1_i2","MA_10435709|MA_10436986|MA_5692","9324|14221|46916","10573|14656|48165","-|-|-"
"489","TRINITY_DN8195_c0_g1_i3","MA_10437055","41518","44908","-"
"490","TRINITY_DN8196_c0_g1_i4","MA_135824","54752","55445","-"
"491","TRINITY_DN8196_c0_g1_i3","MA_135824","54752","55445","-"
"492","TRINITY_DN8279_c0_g1_i9","MA_21185|MA_21185","35017|36099","36920|36723","-|+"
"493","TRINITY_DN8285_c0_g1_i1","MA_8534|MA_8534","699|21537","21801|25041","-|-"
"494","TRINITY_DN8285_c0_g1_i2","MA_8534|MA_8534","699|21537","21801|25041","-|-"
"495","TRINITY_DN8293_c0_g1_i7","MA_18220","31441","31895","-"
"496","TRINITY_DN8293_c0_g1_i3","MA_18220","31441","32054","-"
"497","TRINITY_DN8297_c0_g1_i4","MA_10435373","20916","21945","+"
"498","TRINITY_DN8378_c0_g1_i1","MA_10366215","10990","11825","+"
"499","TRINITY_DN8448_c0_g3_i2","MA_54956","5353","7295","+"
"500","TRINITY_DN8448_c0_g3_i3","MA_54956","6140","7295","+"
"501","TRINITY_DN8478_c1_g3_i1","MA_10435137","91214","92230","+"
"502","TRINITY_DN8483_c0_g1_i2","MA_100494|MA_181419","13776|6944","14141|7180","-|+"
"503","TRINITY_DN8529_c1_g1_i2","MA_35656","2274","3074","+"
"504","TRINITY_DN8573_c1_g1_i1","MA_10435323|MA_172878","13386|1215","31568|1314","-|-"
"505","TRINITY_DN8679_c0_g1_i1","MA_121360|MA_121360","7797|9207","9320|9328","+|+"
"506","TRINITY_DN8615_c0_g1_i5","MA_10433536","5421","6552","+"
"507","TRINITY_DN8615_c0_g1_i6","MA_10433536","5421","6552","+"
"508","TRINITY_DN8615_c0_g1_i12","MA_10433536","5269","6552","+"
"509","TRINITY_DN8655_c0_g1_i7","MA_174289|MA_174289","6722|6842","7161|7159","+|+"
"510","TRINITY_DN8796_c0_g2_i1","MA_5596","23827","25121","+"
"511","TRINITY_DN8781_c0_g3_i3","MA_61805","8388","10385","+"
"512","TRINITY_DN8781_c0_g3_i1","MA_160436|MA_61805","26582|9498","26973|10385","-|+"
"513","TRINITY_DN8865_c1_g1_i1","MA_7295","44328","45107","+"
"514","TRINITY_DN8801_c0_g1_i2","MA_67409","12182","12769","-"
"515","TRINITY_DN8801_c0_g1_i3","MA_67409","12003","12389","-"
"516","TRINITY_DN8845_c0_g1_i1","MA_218478","1113","1559","+"
"517","TRINITY_DN8971_c0_g1_i6","MA_10426910","15466","16053","+"
"518","TRINITY_DN8906_c0_g1_i4","MA_158437|MA_158437","9158|10121","10352|11401","-|-"
"519","TRINITY_DN8906_c0_g1_i6","MA_158437|MA_158437","9158|10121","10352|11401","-|-"
"520","TRINITY_DN8989_c0_g1_i6","MA_128874","18061","19633","-"
"521","TRINITY_DN8989_c0_g1_i3","MA_128874","18085","19633","-"
"522","TRINITY_DN9075_c0_g1_i18","MA_170547","22982","23525","+"
"523","TRINITY_DN9029_c0_g1_i1","MA_41619","7085","8389","-"
"524","TRINITY_DN9123_c0_g1_i1","MA_19146","105103","105660","+"
"525","TRINITY_DN9111_c1_g2_i1","MA_11233|MA_63860","37734|26986","38099|27301","-|-"
"526","TRINITY_DN9148_c0_g1_i4","MA_3249","40434","40762","+"
"527","TRINITY_DN9148_c0_g1_i7","MA_3249","40434","40758","+"
"528","TRINITY_DN9150_c0_g1_i2","MA_10432093","12838","13786","+"
"529","TRINITY_DN9266_c0_g1_i1","MA_10433013","32708","33495","-"
"530","TRINITY_DN9226_c1_g2_i1","MA_10432154","81","208","+"
"531","TRINITY_DN9240_c1_g2_i1","MA_10428385","30818","31518","-"
"532","TRINITY_DN9297_c0_g1_i3","MA_10434484","24145","24469","-"
"533","TRINITY_DN9333_c0_g2_i5","MA_11074","31620","32374","-"
"534","TRINITY_DN9342_c0_g1_i1","MA_10426777","15126","15724","-"
"535","TRINITY_DN9348_c0_g1_i11","MA_10303262|MA_170409","11198|10856","11523|11018","-|+"
"536","TRINITY_DN9371_c0_g1_i2","MA_10434872","22809","23516","+"
"537","TRINITY_DN9396_c0_g2_i4","MA_128912","3079","4186","-"
"538","TRINITY_DN9437_c0_g1_i1","MA_16390","9031","10203","-"
"539","TRINITY_DN9437_c0_g1_i2","MA_16390","9031","10203","-"
"540","TRINITY_DN9548_c0_g1_i1","MA_10431841|MA_10431841","357|362","511|571","-|-"
"541","TRINITY_DN9548_c0_g1_i3","MA_10431841|MA_10431841","233|395","366|548","-|-"
"542","TRINITY_DN9548_c0_g1_i16","MA_10431841|MA_10431841","60|393","527|548","-|-"
"543","TRINITY_DN9548_c0_g1_i13","MA_10431841|MA_10431841","60|393","527|548","-|-"
"544","TRINITY_DN9617_c0_g1_i4","MA_10435496","3502","4119","+"
"545","TRINITY_DN9617_c0_g1_i1","MA_10435496","3502","4040","+"
"546","TRINITY_DN9652_c1_g1_i3","MA_10436794","6434","7732","-"
"547","TRINITY_DN9751_c0_g1_i5","MA_30269","8976","10093","-"
"548","TRINITY_DN9751_c0_g1_i6","MA_30269","8774","10093","-"
"549","TRINITY_DN9880_c2_g1_i4","MA_10429358","300","4984","-"
"550","TRINITY_DN9896_c0_g1_i4","MA_10436806","4736","33463","+"
"551","TRINITY_DN9863_c0_g1_i2","MA_33148|MA_33148","8160|8694","10325|10943","-|+"
"552","TRINITY_DN9901_c0_g2_i2","MA_10427057","6406","7580","-"
"553","TRINITY_DN9931_c1_g1_i8","MA_53821","9419","10197","+"
"554","TRINITY_DN9954_c0_g1_i7","MA_10426142|MA_156062","12369|5263","12584|5457","+|+"
"555","TRINITY_DN10064_c0_g1_i1","MA_39905","12375","12897","-"
"556","TRINITY_DN10064_c0_g1_i2","MA_39905","12375","12897","-"
"557","TRINITY_DN10031_c15_g1_i2","MA_37749","16012","17040","-"
"558","TRINITY_DN10013_c0_g1_i1","MA_10435651|MA_48769","21685|19699","21883|19772","+|-"
"559","TRINITY_DN10013_c0_g1_i2","MA_10435651|MA_48769","21685|19700","21883|19772","+|-"
"560","TRINITY_DN10071_c1_g1_i12","MA_33104","18776","19243","-"
"561","TRINITY_DN10194_c0_g1_i9","MA_10434944|MA_4271","524|17","1421|707","-|-"
"562","TRINITY_DN10150_c0_g2_i1","MA_138999|MA_79506","1286|18205","3041|19924","+|-"
"563","TRINITY_DN10150_c0_g2_i2","MA_138999|MA_79506","1286|18205","3041|19924","+|-"
"564","TRINITY_DN10156_c0_g1_i4","MA_153574|MA_153637","2179|2278","2719|2818","-|-"
"565","TRINITY_DN10156_c0_g1_i6","MA_153574|MA_153637","2179|2278","2719|2818","-|-"
"566","TRINITY_DN10164_c0_g1_i1","MA_30034","3730","4730","+"
"567","TRINITY_DN10164_c0_g1_i2","MA_30034","3730","4730","+"
"568","TRINITY_DN10164_c0_g1_i15","MA_30034","3730","4730","+"
"569","TRINITY_DN10262_c0_g2_i1","MA_26927","24266","26367","-"
"570","TRINITY_DN10292_c0_g1_i3","MA_96911","13589","16017","+"
"571","TRINITY_DN10242_c0_g1_i5","MA_123993|MA_27938","8290|11113","8643|11707","+|-"
"572","TRINITY_DN10242_c0_g1_i7","MA_123993|MA_27938","8290|11113","8643|11707","+|-"
"573","TRINITY_DN10242_c0_g1_i2","MA_27938","11036","12006","-"
"574","TRINITY_DN10324_c0_g1_i3","MA_58344","24763","25730","-"
"575","TRINITY_DN10471_c0_g1_i4","MA_92809","3953","4527","-"
"576","TRINITY_DN10447_c0_g1_i7","MA_10310622|MA_54003","3526|15798","3790|15978","+|+"
"577","TRINITY_DN10417_c0_g1_i2","MA_10435786","6081","6360","-"
"578","TRINITY_DN10528_c0_g1_i4","MA_3394|MA_3394","21787|22009","21981|22154","-|-"
"579","TRINITY_DN10528_c0_g2_i3","MA_3394","21787","22001","-"
"580","TRINITY_DN10584_c0_g1_i7","MA_29235|MA_99833","28652|725","28997|1450","+|-"
"581","TRINITY_DN10649_c0_g1_i4","MA_10436929","36699","37505","-"
"582","TRINITY_DN10649_c0_g1_i6","MA_10436929","36699","37505","-"
"583","TRINITY_DN10620_c0_g2_i3","MA_82066|MA_82066","24170|24747","25169|25125","-|-"
"584","TRINITY_DN10657_c1_g1_i4","MA_97844","9817","10958","-"
"585","TRINITY_DN10657_c1_g1_i7","MA_97844","9817","10958","-"
"586","TRINITY_DN10700_c0_g1_i1","MA_75238","5808","6134","-"
"587","TRINITY_DN10774_c0_g2_i2","MA_18676","44228","52496","+"
"588","TRINITY_DN10774_c0_g2_i5","MA_18676","44228","52496","+"
"589","TRINITY_DN10721_c0_g2_i3","MA_95101","3382","4409","+"
"590","TRINITY_DN10794_c2_g1_i1","MA_469","16256","18159","+"
"591","TRINITY_DN10998_c0_g1_i2","MA_10692","45458","46331","-"
"592","TRINITY_DN11073_c0_g1_i10","MA_42302","9596","10391","-"
"593","TRINITY_DN11090_c0_g1_i1","MA_83798","29513","29894","-"
"594","TRINITY_DN11083_c0_g1_i1","MA_81388","2131","2875","+"
"595","TRINITY_DN11083_c0_g1_i2","MA_81388|MA_81388","1628|2101","2247|2248","+|+"
"596","TRINITY_DN11059_c0_g1_i5","MA_11233|MA_177279","28826|4095","39099|5728","+|+"
"597","TRINITY_DN11059_c0_g1_i1","MA_105202|MA_170936","30705|26127","30979|26384","-|-"
"598","TRINITY_DN11044_c0_g1_i2","MA_88189","12226","12877","-"
"599","TRINITY_DN11001_c0_g5_i6","MA_10426347|MA_162940","30087|401","30625|982","-|+"
"600","TRINITY_DN11057_c0_g1_i2","MA_66238","11557","13791","-"
"601","TRINITY_DN11057_c0_g2_i1","MA_66238|MA_66238|MA_66238","13130|13286|13629","13282|13455|13842","-|-|-"
"602","TRINITY_DN11171_c0_g1_i1","MA_65602|MA_7824","11031|66991","11263|67145","+|-"
"603","TRINITY_DN11290_c1_g2_i1","MA_10428946|MA_83844","24644|35270","25496|36125","+|-"
"604","TRINITY_DN11290_c1_g2_i2","MA_10428946|MA_83844","24644|35270","25496|36125","+|-"
"605","TRINITY_DN11326_c0_g1_i1","MA_48966","4624","6177","-"
"606","TRINITY_DN11353_c0_g2_i5","MA_107938","7016","10769","-"
"607","TRINITY_DN11353_c0_g2_i4","MA_107938","7016","10769","-"
"608","TRINITY_DN11408_c0_g1_i3","MA_10432505","14859","15303","-"
"609","TRINITY_DN11550_c1_g1_i2","MA_18275","60798","61652","+"
"610","TRINITY_DN11585_c0_g1_i9","MA_30269","8015","8888","-"
"611","TRINITY_DN11678_c0_g1_i1","MA_10427227","41696","41972","-"
"612","TRINITY_DN11732_c0_g2_i3","MA_9502","32866","35194","-"
"613","TRINITY_DN11738_c0_g1_i4","MA_10434188","6080","6983","+"
"614","TRINITY_DN11760_c0_g1_i1","MA_10034|MA_10034","11614|13393","13718|14791","+|+"
"615","TRINITY_DN11760_c0_g1_i11","MA_10034|MA_10034","11614|13393","13718|14917","+|+"
"616","TRINITY_DN11855_c1_g1_i2","MA_106360","11390","11520","-"
"617","TRINITY_DN11877_c0_g2_i1","MA_11753","14134","14491","-"
"618","TRINITY_DN11977_c0_g1_i4","MA_129667","255","1244","-"
"619","TRINITY_DN11965_c0_g2_i1","MA_11715|MA_11715","7|128","375|843","+|-"
"620","TRINITY_DN11975_c0_g1_i11","MA_51745|MA_51745","4475|4790","5025|5210","-|-"
"621","TRINITY_DN11907_c0_g1_i17","MA_24961","63243","64240","+"
"622","TRINITY_DN11915_c1_g2_i1","MA_32780","11081","11800","+"
"623","TRINITY_DN12063_c0_g1_i5","MA_94911","17530","17848","-"
"624","TRINITY_DN12063_c0_g1_i1","MA_94911","17530","17848","-"
"625","TRINITY_DN12063_c0_g1_i3","MA_94911","17530","18002","-"
"626","TRINITY_DN12077_c0_g1_i8","MA_14956","14040","16757","+"
"627","TRINITY_DN12029_c0_g1_i1","MA_159855|MA_172626","12033|15692","12470|16129","-|+"
"628","TRINITY_DN12053_c3_g1_i1","MA_10436495","27966","28948","-"
"629","TRINITY_DN12194_c1_g2_i1","MA_42151","18003","18770","+"
"630","TRINITY_DN12116_c0_g1_i5","MA_2703|MA_2703","28150|28515","28693|29820","+|+"
"631","TRINITY_DN12112_c0_g1_i1","MA_87371","15820","18403","+"
"632","TRINITY_DN12245_c1_g1_i6","MA_10426417|MA_10433922|MA_120370","5691|46038|7025","6045|52233|13220","+|+|+"
"633","TRINITY_DN12289_c2_g1_i3","MA_102159","25870","26094","-"
"634","TRINITY_DN12285_c0_g1_i8","MA_10429800|MA_10429800","31463|32544","32733|33403","-|-"
"635","TRINITY_DN12300_c0_g1_i3","MA_10434947|MA_115648|MA_83277","2199|975|13586","2351|1126|13828","+|-|+"
"636","TRINITY_DN12345_c0_g1_i1","MA_104819|MA_165691","5490|2514","5621|2614","+|+"
"637","TRINITY_DN12392_c0_g1_i1","MA_10427036","37751","38861","+"
"638","TRINITY_DN12376_c0_g1_i7","MA_102185|MA_10428345","43753|1620","44019|2555","-|-"
"639","TRINITY_DN12332_c0_g2_i7","MA_10436731","17333","17671","+"
"640","TRINITY_DN12439_c0_g1_i1","MA_6569","19418","19700","-"
"641","TRINITY_DN12436_c0_g1_i1","MA_8400","3594","5209","+"
"642","TRINITY_DN12436_c0_g1_i3","MA_8400","4565","6080","+"
"643","TRINITY_DN12537_c0_g1_i1","MA_11621|MA_11621","3694|5937","6158|6079","+|+"
"644","TRINITY_DN12537_c0_g1_i2","MA_11621|MA_11621","3694|5937","6158|6079","+|+"
"645","TRINITY_DN12721_c0_g1_i1","MA_10435484","10352","11834","+"
"646","TRINITY_DN12721_c0_g1_i3","MA_10435484","10352","11834","+"
"647","TRINITY_DN12718_c0_g2_i1","MA_151527|MA_92282","3570|28751","5177|29033","-|-"
"648","TRINITY_DN12879_c0_g2_i3","MA_10429168|MA_35656","16241|726","16355|992","+|+"
"649","TRINITY_DN12816_c1_g2_i1","MA_10333305","8845","10271","+"
