TF_ID	Gene_ID	Family
MA_10434101g0010	MA_10434101g0010	ERF
MA_10434101g0020	MA_10434101g0020	ERF
MA_10435354g0010	MA_10435354g0010	ERF
MA_10436654g0010	MA_10436654g0010	ERF
MA_104992g0010	MA_104992g0010	ERF
MA_108992g0010	MA_108992g0010	ERF
MA_113446g0010	MA_113446g0010	ERF
MA_115348g0020	MA_115348g0020	ERF
MA_116185g0010	MA_116185g0010	ERF
MA_120531g0010	MA_120531g0010	ERF
MA_12171g0010	MA_12171g0010	ERF
MA_12547g0010	MA_12547g0010	ERF
MA_13408g0010	MA_13408g0010	ERF
MA_134453g0010	MA_134453g0010	ERF
MA_15251g0010	MA_15251g0010	ERF
MA_164803g0010	MA_164803g0010	ERF
MA_166248g0010	MA_166248g0010	ERF
MA_166248g0020	MA_166248g0020	ERF
MA_16778g0010	MA_16778g0010	ERF
MA_168025g0010	MA_168025g0010	ERF
MA_175747g0010	MA_175747g0010	ERF
MA_184464g0010	MA_184464g0010	ERF
MA_18454g0020	MA_18454g0020	ERF
MA_19532g0010	MA_19532g0010	ERF
MA_19683g0010	MA_19683g0010	ERF
MA_19854g0010	MA_19854g0010	ERF
MA_19854g0020	MA_19854g0020	ERF
MA_201698g0010	MA_201698g0010	ERF
MA_203191g0010	MA_203191g0010	ERF
MA_2040g0010	MA_2040g0010	ERF
MA_20987g0010	MA_20987g0010	ERF
MA_214063g0010	MA_214063g0010	ERF
MA_214532g0010	MA_214532g0010	ERF
MA_232677g0010	MA_232677g0010	ERF
MA_2446g0010	MA_2446g0010	ERF
MA_256188g0010	MA_256188g0010	ERF
MA_26547g0010	MA_26547g0010	ERF
MA_269802g0010	MA_269802g0010	ERF
MA_288689g0010	MA_288689g0010	ERF
MA_28894g0010	MA_28894g0010	ERF
MA_3073g0010	MA_3073g0010	ERF
MA_314205g0010	MA_314205g0010	ERF
MA_32651g0010	MA_32651g0010	ERF
MA_329325g0010	MA_329325g0010	ERF
MA_3405g0010	MA_3405g0010	ERF
MA_364562g0010	MA_364562g0010	ERF
MA_367366g0010	MA_367366g0010	ERF
MA_3758g0010	MA_3758g0010	ERF
MA_37766g0010	MA_37766g0010	ERF
MA_4032g0010	MA_4032g0010	ERF
MA_40338g0010	MA_40338g0010	ERF
MA_42369g0010	MA_42369g0010	ERF
MA_426919g0010	MA_426919g0010	ERF
MA_426919g0020	MA_426919g0020	ERF
MA_436575g0010	MA_436575g0010	ERF
MA_446533g0010	MA_446533g0010	ERF
MA_45733g0020	MA_45733g0020	ERF
MA_463250g0010	MA_463250g0010	ERF
MA_4929994g0010	MA_4929994g0010	ERF
MA_493100g0010	MA_493100g0010	ERF
MA_500288g0010	MA_500288g0010	ERF
MA_502153g0010	MA_502153g0010	ERF
MA_5280013g0010	MA_5280013g0010	ERF
MA_54341g0010	MA_54341g0010	ERF
MA_55226g0020	MA_55226g0020	ERF
MA_5629699g0010	MA_5629699g0010	ERF
MA_5730259g0010	MA_5730259g0010	ERF
MA_5979847g0010	MA_5979847g0010	ERF
MA_6305g0010	MA_6305g0010	ERF
MA_6447416g0010	MA_6447416g0010	ERF
MA_647924g0010	MA_647924g0010	ERF
MA_65190g0010	MA_65190g0010	ERF
MA_65877g0010	MA_65877g0010	ERF
MA_66442g0010	MA_66442g0010	ERF
MA_67707g0010	MA_67707g0010	ERF
MA_67841g0010	MA_67841g0010	ERF
MA_69434g0020	MA_69434g0020	ERF
MA_7166g0010	MA_7166g0010	ERF
MA_7202656g0010	MA_7202656g0010	ERF
MA_7850076g0010	MA_7850076g0010	ERF
MA_78784g0010	MA_78784g0010	ERF
MA_7960347g0010	MA_7960347g0010	ERF
MA_81029g0010	MA_81029g0010	ERF
MA_81979g0010	MA_81979g0010	ERF
MA_83118g0010	MA_83118g0010	ERF
MA_8384767g0010	MA_8384767g0010	ERF
MA_84578g0010	MA_84578g0010	ERF
MA_8518489g0010	MA_8518489g0010	ERF
MA_8552524g0010	MA_8552524g0010	ERF
MA_8574268g0010	MA_8574268g0010	ERF
MA_88g0020	MA_88g0020	ERF
MA_891091g0010	MA_891091g0010	ERF
MA_896002g0010	MA_896002g0010	ERF
MA_8984558g0010	MA_8984558g0010	ERF
MA_900190g0010	MA_900190g0010	ERF
MA_904750g0010	MA_904750g0010	ERF
MA_9160409g0010	MA_9160409g0010	ERF
MA_922309g0010	MA_922309g0010	ERF
MA_924346g0010	MA_924346g0010	ERF
MA_928517g0010	MA_928517g0010	ERF
MA_9294379g0010	MA_9294379g0010	ERF
MA_9304g0020	MA_9304g0020	ERF
MA_9321671g0010	MA_9321671g0010	ERF
MA_938274g0010	MA_938274g0010	ERF
MA_94228g0010	MA_94228g0010	ERF
MA_9565296g0010	MA_9565296g0010	ERF
MA_959784g0010	MA_959784g0010	ERF
MA_96063g0020	MA_96063g0020	ERF
MA_96512g0020	MA_96512g0020	ERF
MA_97319g0010	MA_97319g0010	ERF
MA_9785986g0010	MA_9785986g0010	ERF
MA_9786598g0010	MA_9786598g0010	ERF
MA_98464g0010	MA_98464g0010	ERF
MA_9905g0010	MA_9905g0010	ERF
MA_10433513g0010	MA_10433513g0010	DBB
MA_128658g0010	MA_128658g0010	DBB
MA_10192193g0020	MA_10192193g0020	CO-like
MA_54929g0010	MA_54929g0010	CO-like
MA_7292g0010	MA_7292g0010	CO-like
MA_10432457g0010	MA_10432457g0010	ARR-B
MA_114951g0010	MA_114951g0010	ARR-B
MA_78829g0010	MA_78829g0010	ARR-B
MA_83273g0010	MA_83273g0010	ARR-B
MA_92689g0020	MA_92689g0020	ARR-B
MA_10251997g0010	MA_10251997g0010	G2-like
MA_10266929g0010	MA_10266929g0010	G2-like
MA_10432937g0010	MA_10432937g0010	G2-like
MA_10433112g0010	MA_10433112g0010	G2-like
MA_118174g0010	MA_118174g0010	G2-like
MA_120020g0010	MA_120020g0010	G2-like
MA_12161g0010	MA_12161g0010	G2-like
MA_138039g0010	MA_138039g0010	G2-like
MA_14087g0010	MA_14087g0010	G2-like
MA_181986g0010	MA_181986g0010	G2-like
MA_21538g0020	MA_21538g0020	G2-like
MA_28188g0010	MA_28188g0010	G2-like
MA_303578g0010	MA_303578g0010	G2-like
MA_3352g0010	MA_3352g0010	G2-like
MA_335624g0020	MA_335624g0020	G2-like
MA_33594g0010	MA_33594g0010	G2-like
MA_52379g0010	MA_52379g0010	G2-like
MA_541749g0010	MA_541749g0010	G2-like
MA_8183372g0010	MA_8183372g0010	G2-like
MA_84935g0010	MA_84935g0010	G2-like
MA_8865g0010	MA_8865g0010	G2-like
MA_937875g0010	MA_937875g0010	G2-like
MA_130755g0010	MA_130755g0010	MIKC_MADS
MA_13933g0010	MA_13933g0010	MIKC_MADS
MA_6805g0010	MA_6805g0010	MIKC_MADS
MA_101463g0010	MA_101463g0010	M-type_MADS
MA_10256834g0010	MA_10256834g0010	M-type_MADS
MA_10429213g0020	MA_10429213g0020	M-type_MADS
MA_113509g0010	MA_113509g0010	M-type_MADS
MA_17919g0010	MA_17919g0010	M-type_MADS
MA_19007g0010	MA_19007g0010	M-type_MADS
MA_19007g0020	MA_19007g0020	M-type_MADS
MA_254338g0010	MA_254338g0010	M-type_MADS
MA_276701g0010	MA_276701g0010	M-type_MADS
MA_333471g0010	MA_333471g0010	M-type_MADS
MA_35712g0010	MA_35712g0010	M-type_MADS
MA_419570g0010	MA_419570g0010	M-type_MADS
MA_458668g0010	MA_458668g0010	M-type_MADS
MA_57493g0010	MA_57493g0010	M-type_MADS
MA_78010g0010	MA_78010g0010	M-type_MADS
MA_9284799g0010	MA_9284799g0010	M-type_MADS
MA_9310518g0010	MA_9310518g0010	M-type_MADS
MA_95674g0010	MA_95674g0010	M-type_MADS
MA_111469g0010	MA_111469g0010	GRF
MA_137877g0010	MA_137877g0010	GRF
MA_18836g0010	MA_18836g0010	GRF
MA_33661g0010	MA_33661g0010	GRF
MA_88101g0010	MA_88101g0010	GRF
MA_1005g0010	MA_1005g0010	HB-other
MA_10427612g0010	MA_10427612g0010	HB-other
MA_10434837g0010	MA_10434837g0010	HB-other
MA_10435903g0020	MA_10435903g0020	HB-other
MA_10436137g0010	MA_10436137g0010	HB-other
MA_110607g0010	MA_110607g0010	HB-other
MA_265741g0010	MA_265741g0010	HB-other
MA_3158g0010	MA_3158g0010	HB-other
MA_38676g0010	MA_38676g0010	HB-other
MA_8965632g0010	MA_8965632g0010	HB-other
MA_9427942g0010	MA_9427942g0010	WOX
MA_33318g0010	MA_33318g0010	WOX
MA_121643g0010	MA_121643g0010	WOX
MA_74653g0010	MA_74653g0010	WOX
MA_8832398g0010	MA_8832398g0010	WOX
MA_1910g0010	MA_1910g0010	WOX
MA_747816g0010	MA_747816g0010	WOX
MA_8850184g0010	MA_8850184g0010	WOX
MA_10344604g0010	MA_10344604g0010	WOX
MA_124915g0010	MA_124915g0010	WOX
MA_59896g0010	MA_59896g0010	WOX
MA_129591g0010	MA_129591g0010	WOX
MA_42637g0010	MA_42637g0010	WOX
MA_116716g0010	MA_116716g0010	WOX
MA_10432361g0010	MA_10432361g0010	WOX
MA_161092g0010	MA_161092g0010	WOX
MA_8044496g0010	MA_8044496g0010	WOX
MA_10234279g0010	MA_10234279g0010	WOX
MA_128969g0010	MA_128969g0010	WOX
MA_111188g0010	MA_111188g0010	TALE
MA_18002g0010	MA_18002g0010	TALE
MA_10435446g0010	MA_10435446g0010	TALE
MA_6763g0010	MA_6763g0010	TALE
MA_28447g0010	MA_28447g0010	TALE
MA_76835g0010	MA_76835g0010	TALE
MA_19453g0040	MA_19453g0040	HD-ZIP
MA_169305g0010	MA_169305g0010	HD-ZIP
MA_238039g0010	MA_238039g0010	HD-ZIP
MA_13587g0010	MA_13587g0010	HD-ZIP
MA_3688g0010	MA_3688g0010	HD-ZIP
MA_60543g0010	MA_60543g0010	HD-ZIP
MA_57689g0010	MA_57689g0010	HD-ZIP
MA_60457g0010	MA_60457g0010	HD-ZIP
MA_12174g0010	MA_12174g0010	HD-ZIP
MA_130615g0020	MA_130615g0020	HD-ZIP
MA_10434389g0010	MA_10434389g0010	HD-ZIP
MA_9241385g0010	MA_9241385g0010	HD-ZIP
MA_12053g0010	MA_12053g0010	HD-ZIP
MA_126021g0010	MA_126021g0010	HD-ZIP
MA_132936g0010	MA_132936g0010	HD-ZIP
MA_194299g0010	MA_194299g0010	HD-ZIP
MA_3951g0010	MA_3951g0010	HD-ZIP
MA_12866g0010	MA_12866g0010	HD-ZIP
MA_128g0010	MA_128g0010	HD-ZIP
MA_10428916g0010	MA_10428916g0010	HD-ZIP
MA_21460g0010	MA_21460g0010	HD-ZIP
MA_78381g0010	MA_78381g0010	HD-ZIP
MA_441783g0010	MA_441783g0010	HD-ZIP
MA_303404g0010	MA_303404g0010	TALE
MA_10428446g0010	MA_10428446g0010	TALE
MA_9556g0010	MA_9556g0010	TALE
MA_10428500g0010	MA_10428500g0010	TALE
MA_93471g0010	MA_93471g0010	HD-ZIP
MA_122121g0010	MA_122121g0010	HD-ZIP
MA_38472g0010	MA_38472g0010	HD-ZIP
MA_305431g0010	MA_305431g0010	HD-ZIP
MA_10427484g0010	MA_10427484g0010	HD-ZIP
MA_19520g0020	MA_19520g0020	HD-ZIP
MA_112057g0010	MA_112057g0010	HD-ZIP
MA_10426153g0010	MA_10426153g0010	C2H2
MA_10426405g0010	MA_10426405g0010	C2H2
MA_10426425g0010	MA_10426425g0010	C2H2
MA_10428315g0010	MA_10428315g0010	C2H2
MA_10428436g0020	MA_10428436g0020	C2H2
MA_10430013g0020	MA_10430013g0020	C2H2
MA_10435282g0010	MA_10435282g0010	C3H
MA_10435385g0010	MA_10435385g0010	C3H
MA_10436314g0010	MA_10436314g0010	LSD
MA_10436688g0010	MA_10436688g0010	C2H2
MA_104763g0010	MA_104763g0010	C2H2
MA_108219g0010	MA_108219g0010	C2H2
MA_109421g0010	MA_109421g0010	C2H2
MA_111475g0020	MA_111475g0020	C3H
MA_11306g0010	MA_11306g0010	C3H
MA_1139g0010	MA_1139g0010	C3H
MA_1151g0010	MA_1151g0010	C3H
MA_119483g0010	MA_119483g0010	C2H2
MA_12028g0010	MA_12028g0010	C2H2
MA_126170g0010	MA_126170g0010	C3H
MA_126258g0010	MA_126258g0010	C3H
MA_126678g0010	MA_126678g0010	C3H
MA_127060g0010	MA_127060g0010	C3H
MA_133015g0010	MA_133015g0010	C2H2
MA_137427g0010	MA_137427g0010	C3H
MA_141733g0010	MA_141733g0010	C2H2
MA_159838g0010	MA_159838g0010	C3H
MA_167434g0010	MA_167434g0010	C2H2
MA_170639g0010	MA_170639g0010	C2H2
MA_17724g0010	MA_17724g0010	C2H2
MA_17746g0010	MA_17746g0010	C3H
MA_211093g0010	MA_211093g0010	C2H2
MA_22141g0010	MA_22141g0010	LSD
MA_22572g0020	MA_22572g0020	C3H
MA_26324g0010	MA_26324g0010	C2H2
MA_26803g0010	MA_26803g0010	C3H
MA_2800g0010	MA_2800g0010	C2H2
MA_29238g0010	MA_29238g0010	C2H2
MA_30401g0010	MA_30401g0010	C2H2
MA_32163g0010	MA_32163g0010	C2H2
MA_324587g0010	MA_324587g0010	C3H
MA_329868g0010	MA_329868g0010	C3H
MA_33034g0010	MA_33034g0010	C2H2
MA_3555g0010	MA_3555g0010	C2H2
MA_357706g0010	MA_357706g0010	C2H2
MA_3905g0020	MA_3905g0020	C2H2
MA_4130g0010	MA_4130g0010	C2H2
MA_479649g0020	MA_479649g0020	C2H2
MA_5313g0010	MA_5313g0010	C2H2
MA_57501g0010	MA_57501g0010	C2H2
MA_584554g0010	MA_584554g0010	C2H2
MA_6394g0010	MA_6394g0010	C3H
MA_6700463g0010	MA_6700463g0010	C3H
MA_67616g0010	MA_67616g0010	C3H
MA_68032g0010	MA_68032g0010	C3H
MA_70076g0010	MA_70076g0010	C2H2
MA_71756g0010	MA_71756g0010	C3H
MA_795128g0010	MA_795128g0010	C2H2
MA_81876g0010	MA_81876g0010	C2H2
MA_834070g0010	MA_834070g0010	C3H
MA_8390711g0010	MA_8390711g0010	C2H2
MA_83924g0010	MA_83924g0010	C3H
MA_8408g0030	MA_8408g0030	C3H
MA_85675g0010	MA_85675g0010	C2H2
MA_86784g0010	MA_86784g0010	C2H2
MA_879g0010	MA_879g0010	C2H2
MA_88000g0010	MA_88000g0010	C3H
MA_88541g0010	MA_88541g0010	C3H
MA_8911g0010	MA_8911g0010	C3H
MA_910870g0010	MA_910870g0010	C3H
MA_917988g0010	MA_917988g0010	C3H
MA_92989g0010	MA_92989g0010	C2H2
MA_93487g0010	MA_93487g0010	C2H2
MA_98656g0010	MA_98656g0010	C3H
MA_10048467g0010	MA_10048467g0010	MYB
MA_10157944g0010	MA_10157944g0010	MYB
MA_101790g0010	MA_101790g0010	MYB
MA_10190951g0010	MA_10190951g0010	MYB
MA_101987g0010	MA_101987g0010	MYB
MA_10208000g0010	MA_10208000g0010	MYB
MA_10225049g0010	MA_10225049g0010	MYB
MA_10249055g0010	MA_10249055g0010	MYB
MA_10425867g0020	MA_10425867g0020	MYB
MA_10426233g0010	MA_10426233g0010	MYB
MA_10429939g0010	MA_10429939g0010	MYB
MA_10430220g0010	MA_10430220g0010	MYB
MA_10431212g0010	MA_10431212g0010	MYB
MA_10432903g0010	MA_10432903g0010	MYB
MA_10434028g0010	MA_10434028g0010	MYB
MA_10435380g0010	MA_10435380g0010	MYB
MA_10435612g0010	MA_10435612g0010	MYB
MA_10435865g0010	MA_10435865g0010	MYB
MA_10859g0010	MA_10859g0010	MYB
MA_113824g0010	MA_113824g0010	MYB
MA_115846g0010	MA_115846g0010	MYB
MA_116862g0010	MA_116862g0010	MYB
MA_118448g0010	MA_118448g0010	MYB
MA_120049g0010	MA_120049g0010	MYB
MA_1201g0010	MA_1201g0010	MYB
MA_121533g0010	MA_121533g0010	MYB
MA_124887g0010	MA_124887g0010	MYB
MA_128244g0010	MA_128244g0010	MYB
MA_129382g0010	MA_129382g0010	MYB
MA_130918g0010	MA_130918g0010	MYB
MA_137453g0010	MA_137453g0010	MYB
MA_137934g0010	MA_137934g0010	MYB
MA_139238g0010	MA_139238g0010	MYB
MA_139448g0010	MA_139448g0010	MYB
MA_139924g0010	MA_139924g0010	MYB
MA_140579g0010	MA_140579g0010	MYB
MA_14061g0010	MA_14061g0010	MYB
MA_14452g0010	MA_14452g0010	MYB
MA_15687g0010	MA_15687g0010	MYB
MA_158099g0010	MA_158099g0010	MYB
MA_1589g0010	MA_1589g0010	MYB
MA_16413g0010	MA_16413g0010	MYB
MA_175772g0010	MA_175772g0010	MYB
MA_17672g0010	MA_17672g0010	MYB
MA_183667g0010	MA_183667g0010	MYB
MA_190973g0010	MA_190973g0010	MYB
MA_19163g0010	MA_19163g0010	MYB
MA_199974g0010	MA_199974g0010	MYB
MA_202088g0010	MA_202088g0010	MYB
MA_2026g0010	MA_2026g0010	MYB
MA_20462g0010	MA_20462g0010	MYB
MA_21440g0010	MA_21440g0010	MYB
MA_22140g0010	MA_22140g0010	MYB
MA_223201g0010	MA_223201g0010	MYB
MA_23242g0010	MA_23242g0010	MYB
MA_24271g0020	MA_24271g0020	MYB
MA_246142g0010	MA_246142g0010	MYB
MA_2797g0010	MA_2797g0010	MYB
MA_30848g0010	MA_30848g0010	MYB
MA_308669g0010	MA_308669g0010	MYB
MA_316475g0010	MA_316475g0010	MYB
MA_323706g0010	MA_323706g0010	MYB
MA_328440g0010	MA_328440g0010	MYB
MA_33964g0010	MA_33964g0010	MYB
MA_357440g0010	MA_357440g0010	MYB
MA_3665g0010	MA_3665g0010	MYB
MA_37058g0010	MA_37058g0010	MYB
MA_37256g0010	MA_37256g0010	MYB
MA_37851g0010	MA_37851g0010	MYB
MA_44263g0010	MA_44263g0010	MYB
MA_45091g0010	MA_45091g0010	MYB
MA_460508g0010	MA_460508g0010	MYB
MA_4704g0010	MA_4704g0010	MYB
MA_48006g0010	MA_48006g0010	MYB
MA_50745g0010	MA_50745g0010	MYB
MA_51173g0010	MA_51173g0010	MYB
MA_53373g0010	MA_53373g0010	MYB
MA_53573g0010	MA_53573g0010	MYB
MA_55123g0010	MA_55123g0010	MYB
MA_62361g0010	MA_62361g0010	MYB
MA_6285g0010	MA_6285g0010	MYB
MA_6393g0010	MA_6393g0010	MYB
MA_64405g0010	MA_64405g0010	MYB
MA_66255g0010	MA_66255g0010	MYB
MA_67705g0010	MA_67705g0010	MYB
MA_69407g0010	MA_69407g0010	MYB
MA_7055g0010	MA_7055g0010	MYB
MA_7115g0010	MA_7115g0010	MYB
MA_73502g0010	MA_73502g0010	MYB
MA_74671g0010	MA_74671g0010	MYB
MA_80033g0010	MA_80033g0010	MYB
MA_8069842g0010	MA_8069842g0010	MYB
MA_8147g0020	MA_8147g0020	MYB
MA_81763g0010	MA_81763g0010	MYB
MA_8206949g0010	MA_8206949g0010	MYB
MA_82197g0010	MA_82197g0010	MYB
MA_8356281g0010	MA_8356281g0010	MYB
MA_83918g0010	MA_83918g0010	MYB
MA_859316g0010	MA_859316g0010	MYB
MA_8626g0010	MA_8626g0010	MYB
MA_87695g0010	MA_87695g0010	MYB
MA_8846750g0010	MA_8846750g0010	MYB
MA_89683g0010	MA_89683g0010	MYB
MA_908g0010	MA_908g0010	MYB
MA_93127g0010	MA_93127g0010	MYB
MA_936250g0010	MA_936250g0010	MYB
MA_9374017g0010	MA_9374017g0010	MYB
MA_9381481g0010	MA_9381481g0010	MYB
MA_94467g0010	MA_94467g0010	MYB
MA_9483804g0010	MA_9483804g0010	MYB
MA_95226g0010	MA_95226g0010	MYB
MA_9684426g0010	MA_9684426g0010	MYB
MA_96853g0010	MA_96853g0010	MYB
MA_9818613g0010	MA_9818613g0010	MYB
MA_10118834g0010	MA_10118834g0010	MYB_related
MA_102199g0010	MA_102199g0010	MYB_related
MA_10260690g0010	MA_10260690g0010	MYB_related
MA_102992g0010	MA_102992g0010	MYB_related
MA_10426628g0010	MA_10426628g0010	MYB_related
MA_10428586g0010	MA_10428586g0010	MYB_related
MA_10429682g0010	MA_10429682g0010	MYB_related
MA_10430620g0010	MA_10430620g0010	MYB_related
MA_10431052g0010	MA_10431052g0010	MYB_related
MA_10431881g0010	MA_10431881g0010	MYB_related
MA_10432538g0010	MA_10432538g0010	MYB_related
MA_10433265g0010	MA_10433265g0010	MYB_related
MA_10434609g0010	MA_10434609g0010	MYB_related
MA_10435988g0010	MA_10435988g0010	MYB_related
MA_10436305g0010	MA_10436305g0010	MYB_related
MA_10436747g0020	MA_10436747g0020	MYB_related
MA_10436944g0010	MA_10436944g0010	MYB_related
MA_104862g0010	MA_104862g0010	MYB_related
MA_10713g0010	MA_10713g0010	MYB_related
MA_108542g0010	MA_108542g0010	MYB_related
MA_108727g0010	MA_108727g0010	MYB_related
MA_11267g0020	MA_11267g0020	MYB_related
MA_11322g0010	MA_11322g0010	MYB_related
MA_115536g0010	MA_115536g0010	MYB_related
MA_135627g0010	MA_135627g0010	MYB_related
MA_157774g0010	MA_157774g0010	MYB_related
MA_16729g0010	MA_16729g0010	MYB_related
MA_17466g0010	MA_17466g0010	MYB_related
MA_19052g0010	MA_19052g0010	MYB_related
MA_2008g0010	MA_2008g0010	MYB_related
MA_208967g0010	MA_208967g0010	MYB_related
MA_254136g0010	MA_254136g0010	MYB_related
MA_267974g0010	MA_267974g0010	MYB_related
MA_30864g0010	MA_30864g0010	MYB_related
MA_318922g0010	MA_318922g0010	MYB_related
MA_31899g0010	MA_31899g0010	MYB_related
MA_320104g0010	MA_320104g0010	MYB_related
MA_336002g0010	MA_336002g0010	MYB_related
MA_355131g0010	MA_355131g0010	MYB_related
MA_40234g0010	MA_40234g0010	MYB_related
MA_40826g0010	MA_40826g0010	MYB_related
MA_41041g0010	MA_41041g0010	MYB_related
MA_413315g0010	MA_413315g0010	MYB_related
MA_41803g0010	MA_41803g0010	MYB_related
MA_436312g0010	MA_436312g0010	MYB_related
MA_4540441g0010	MA_4540441g0010	MYB_related
MA_471905g0010	MA_471905g0010	MYB_related
MA_488767g0010	MA_488767g0010	MYB_related
MA_49770g0010	MA_49770g0010	MYB_related
MA_52914g0010	MA_52914g0010	MYB_related
MA_55337g0010	MA_55337g0010	MYB_related
MA_5565092g0010	MA_5565092g0010	MYB_related
MA_6326342g0010	MA_6326342g0010	MYB_related
MA_63754g0010	MA_63754g0010	MYB_related
MA_70681g0010	MA_70681g0010	MYB_related
MA_7105735g0010	MA_7105735g0010	MYB_related
MA_7164403g0010	MA_7164403g0010	MYB_related
MA_7261g0010	MA_7261g0010	MYB_related
MA_76643g0010	MA_76643g0010	MYB_related
MA_79012g0010	MA_79012g0010	MYB_related
MA_80342g0010	MA_80342g0010	MYB_related
MA_861471g0010	MA_861471g0010	MYB_related
MA_867871g0010	MA_867871g0010	MYB_related
MA_867875g0010	MA_867875g0010	MYB_related
MA_89624g0010	MA_89624g0010	MYB_related
MA_9196648g0010	MA_9196648g0010	MYB_related
MA_9225682g0010	MA_9225682g0010	MYB_related
MA_926192g0010	MA_926192g0010	MYB_related
MA_9437011g0010	MA_9437011g0010	MYB_related
MA_9438016g0010	MA_9438016g0010	MYB_related
MA_9544g0010	MA_9544g0010	MYB_related
MA_95468g0010	MA_95468g0010	MYB_related
MA_95747g0010	MA_95747g0010	MYB_related
MA_962483g0010	MA_962483g0010	MYB_related
MA_97537g0010	MA_97537g0010	MYB_related
MA_9856146g0010	MA_9856146g0010	MYB_related
MA_9991g0010	MA_9991g0010	MYB_related
